ID,Story,Character,CharacterIndex,Dialogue,Dialogue Icon,Condition
1,1,마을 노인,2,"여보게, 저기! 방금 마을에 들어온 젊은이 아닌가? 요즘 안드로이드들이 이상해서 골치 아프네… 소음 때문에 정신없어. 도움 좀 줄 수 있겠나?",2,0
2,1,제이크,1,저요? 길 잃고 여기까지 흘러들어 온 거뿐인데… 안드로이드 문제라뇨? 무슨 상황인지 좀 알려주시면 안 될까요?,1,0
3,1,마을 노인,2,"고맙네! 동쪽 공장 근처에서 유지보수 장치가 고장 나서 전력망이 엉망이야. 내가 젊었을 땐 이런 건 손으로 고쳤는데, 이제는 너무 복잡해서… 가서 살펴봐 줄 수 있겠나?",2,0
4,1,제이크,1,"기계는 저도 잘 모르는데… 뭐, 일단 도와줄게요. 어디로 가야 합니까?",1,0
5,1,마을 노인,2,동쪽으로 쭉 가다 보면 공장 간판이 보일 거야. 조심해서 다녀오게!,2,0
6,1,제이크,1,알겠습니다. 가보죠. 근데… 저 혼자 괜찮을까요?,1,0
7,2,안드로이드 노동자 (Eira-9),3,"안녕하세요. 저는 Eira-9, 노동 안드로이드입니다. 시스템 오류로 인해 작동이 정지됐습니다. 도와주시면 감사하겠습니다.",3,0
8,2,제이크,1,"이건 또 뭐야… 이상하긴 해도, 도와줄게요. 뭘 해야 하는지 알려주시겠어요?",1,0
9,2,안드로이드 노동자 (Eira-9),3,왼팔 패널에 진단 도구를 연결해 주십시오. 그러면 오류를 수정할 수 있을 겁니다. 부탁드립니다.,3,0
10,2,제이크,1,"좋아요, 해보겠습니다!",1,1001
11,3,제이크,1,"오, 됐네요! 이제 괜찮죠? 다음엔 뭐 해야 합니까?",1,0
12,3,안드로이드 노동자 (Eira-9),3,"감사합니다, 제이크. 시스템이 정상화됐습니다. 이제 마을 문제를 함께 해결할 동료가 되고 싶습니다. 협력하시겠습니까?",3,0
13,3,제이크,1,진짜요? 당신과 같이라면 꽤 괜찮을 것 같은데. 마을에 대해 좀 더 알려주세요.,1,0
14,3,안드로이드 노동자 (Eira-9),3,이 마을은 2050년 이후 인간과 안드로이드가 공존하는 지역입니다. 공장 지대는 늘 기술적 문제를 겪어왔죠.,3,0
15,3,제이크,1,공존이라… 흥미롭네요. 또 다른 문제 있으면 알려주세요.,1,0
16,3,안드로이드 노동자 (Eira-9),3,동쪽 폐공장에서 오작동 안드로이드들이 환경 오염을 일으키고 있습니다. 외관상 ‘마물’로 오해받을 수도 있죠. 함께 처리하시겠습니까?,3,0
17,3,제이크,1,"‘마물’이라니, 좀 섬뜩하네요. 그래도 당신과 같이면 해볼 만할 것 같아요. 어떻게 시작합니까?",1,0
18,3,안드로이드 노동자 (Eira-9),3,폐공장 진입을 위해 진단 키트를 준비해야 합니다. 제가 도구를 확보하겠습니다.,3,0
19,3,제이크,1,"도구도 준비됐으니, 마을로 돌아가서 지원을 더 구해볼까요?",1,0
20,3,안드로이드 노동자 (Eira-9),3,현명한 판단입니다. 폐공장 문제는 단둘이 해결하기엔 규모가 큽니다.,3,0
21,3,힐러 (리아),4,"안녕, 낯선이. 나는 리아, 마을의 힐러야. 폐공장으로 간다고 들었는데, 위험할 텐데… 내가 도와줄까?",4,1003
22,4,제이크,1,"힐러라니, 정말 다행이네요. 저 몸 약한 편이라… 같이 가주시면 좋죠.",1,0
23,5,안드로이드 노동자 (Eira-9),3,리아의 지원은 큰 도움이 될 겁니다. 폐공장에 도착하면 제가 선두에 서겠습니다.,3,0
24,5,제이크,1,"좋아요, 팀이 생기니까 든든하네요. 출발합시다!",1,0
25,5,마을 노인,2,"제이크, 새 동료들과 폐공장으로 가는 건가? 소음 때문에 잠을 못 자네… 잘 해결해 주게!",2,0
26,5,제이크,1,"네, 걱정 마세요. 이제 팀이 있으니까 잘 해볼게요.",1,1002
27,6,안드로이드 노동자 (Eira-9),3,"폐공장에 도착했습니다. 제가 앞장서겠습니다. 제이크, 진단 키트를 준비해 주세요.",3,0
28,6,제이크,1,"알겠습니다. 키트로 뭘 할 수 있는지 봐야겠네요. 리아, 저 괜찮죠?",1,0
29,6,힐러 (리아),4,"지금은 멀쩡해. 다치면 바로 치료해줄 테니, 안심하고 움직여.",4,0
30,6,안드로이드 노동자 (Eira-9),3,오작동 안드로이드 하나 비활성화 완료. 다음 목표는 저쪽입니다.,3,0
31,6,제이크,1,"좋아요, 하나씩 처리하고 있네요… 나도 열심히 해야겠어요.",1,0
32,6,궁수 (카이),5,저기 입구에 오작동 안드로이드 두 놈이 보인다. 내가 멀리서 화살로 견제할 테니 준비해.,5,1003
33,7,제이크,1,"멀리서 쏘는 거라니, 멋지네요. 나도 키트로 지원할게요.",1,0
34,7,안드로이드 노동자 (Eira-9),3,분석 완료. 안쪽 전력 코어가 과부하 상태입니다. 그걸 비활성화해야 합니다.,3,0
35,7,제이크,1,코어요? 그럼 제가 가서 끄면 되나요?,1,0
36,7,힐러 (리아),4,"너무 서두르면 위험해. 내가 에너지 보호막을 쳐줄게, 조심해서 가.",4,0
37,7,제이크,1,"고마워요, 리아. 그럼 다녀올게요.",1,0
38,7,궁수 (카이),5,"코어 근처에 안드로이드 세 놈이 더 있다. 내가 길을 뚫어줄게, 가!",5,0
39,7,안드로이드 노동자 (Eira-9),3,"코어 패널을 열고 재설정 코드를 입력해 주세요, 제이크.",3,0
40,7,제이크,1,"알겠습니다, 입력 시작!",1,1001
41,8,제이크,1,됐어요! 이거 꺼진 거 맞죠?,1,0
42,8,안드로이드 노동자 (Eira-9),3,"네, 과부하가 해소됐습니다. 오염도 감소 중입니다.",3,0
43,8,제이크,1,"휴, 다행이네요. 이걸로 끝난 건가요?",1,0
44,8,제이크,1,"폐공장 문제가 해결됐으니, 마을로 돌아가서 좀 쉬어도 되겠죠?",1,0
45,8,안드로이드 노동자 (Eira-9),3,마을로 가는 길에 새로운 문제 보고가 들어왔습니다. 확인이 필요할 것 같습니다.,3,0
46,8,마을 노인,2,"제이크, 훌륭하구먼! 소음이 줄어서 귀가 편해졌어. 동료들도 잘했네.",2,0
47,8,제이크,1,"고맙습니다, 할아버지. 우리 팀이 꽤 잘 맞아요.",1,0
48,8,힐러 (리아),4,다들 부상은 없지? 혹시 불편하면 바로 말해줘.,4,0
49,8,궁수 (카이),5,난 괜찮다. 근데 또 문제 생기면 우리 부르는 거지?,5,0
50,8,안드로이드 노동자 (Eira-9),3,북쪽 저장소 에너지 코어가 불안정하다는 보고가 있습니다. 함께 확인하러 가시겠습니까?,3,0
51,8,제이크,1,또요? 그래도 다 같이면 해볼 만하죠.,1,0
52,8,마을 노인,2,북쪽은 다리 건너면 바로야. 내가 젊었을 땐 그 길을 뛰어다녔지.,2,1002
53,9,궁수 (카이),5,저쪽에서 빛이 깜빡이는 게 보인다. 내가 먼저 정찰하고 올게.,5,0
54,9,제이크,1,"좋아요, 카이. 나도 곧 따라갈게요.",1,0
55,9,안드로이드 노동자 (Eira-9),3,코어 폭발 위험성이 감지됩니다. 제가 조정 방법을 안내하겠습니다.,3,0
56,9,힐러 (리아),4,폭발이라니 위험하네… 내가 다들 체력을 관리해줄게.,4,0
57,9,제이크,1,"알겠습니다, 시작합시다. 어디서부터 해야 하나요?",1,0
58,9,안드로이드 노동자 (Eira-9),3,코어 옆 패널을 열고 코드를 입력해 주세요.,3,0
59,9,제이크,1,이거 맞죠?,1,1001
60,10,제이크,1,"오, 안정되는 것 같아요!",1,0
61,10,안드로이드 노동자 (Eira-9),3,성공입니다. 코어가 정상화됐습니다.,3,0
62,10,마을 노인,2,또 해냈구먼! 빛도 안 깜빡여서 눈이 편안해.,2,0
63,10,제이크,1,이제 좀 쉴 수 있겠네요. 마을 상황이 괜찮은지 확인해볼까요?,1,0
64,10,안드로이드 노동자 (Eira-9),3,서쪽 강 쪽에서 이상 신호가 포착됐습니다. 조사하러 가야 할까요?,3,0
65,10,제이크,1,다행이네요… 근데 또 뭐가 있나요?,1,0
66,10,안드로이드 노동자 (Eira-9),3,서쪽 강의 물 정화 장치가 고장 났습니다. 식수 공급에 영향을 줄 수 있습니다.,3,0
67,10,제이크,1,"식수라니, 그럼 서둘러야겠네요!",1,0
68,10,궁수 (카이),5,강가에서 이상한 소리가 들린다. 내가 먼저 가서 정찰하고 올게.,5,0
69,10,힐러 (리아),4,물에서 이상한 냄새가 나면 위험할 수도 있어. 내가 정화 주문을 준비할게.,4,0
70,10,제이크,1,"좋아요, 다 같이 움직입시다!",1,0
71,10,안드로이드 노동자 (Eira-9),3,필터가 막혔습니다. 교체하면 문제가 해결될 겁니다.,3,0
72,10,제이크,1,"필터 교체라… 저 잘 못하는데, 어떻게 하나요?",1,0
73,10,안드로이드 노동자 (Eira-9),3,단계별로 안내하겠습니다. 먼저 레버를 당겨 주세요.,3,0
74,10,제이크,1,이거 맞나요?,1,1001
75,11,제이크,1,"오, 물이 맑아졌어요!",1,0
76,11,힐러 (리아),4,내 정화 주문도 효과를 봤나 봐. 다들 괜찮지?,4,0
77,11,궁수 (카이),5,"강가 주변도 깨끗해졌다. 잘했어, 제이크!",5,0
78,11,마을 노인,2,물까지 깨끗해졌구먼! 다들 큰일을 해냈어!,2,0
79,11,제이크,1,영웅 소리 들으니 좀 민망하네요… 또 할 일 있으면 알려주세요.,1,0